img_name,mos
10004473376.jpg,77.3836206897
10007357496.jpg,68.7285714286
10007903636.jpg,78.6285714286
10009096245.jpg,77.24375
100117038.jpg,75.1125
10012398043.jpg,65.1495327103
10013822223.jpg,68.30625
10014002683.jpg,64.7627118644
10017119924.jpg,66.2243589744
10020766793.jpg,81.50625
10020891105.jpg,56.8297413793
10022757465.jpg,71.0154867257
10022844623.jpg,60.925
10027545463.jpg,72.8279816514
10027582235.jpg,77.1377118644
10029841663.jpg,70.125
10031298826.jpg,50.5681818182
10031913154.jpg,70.5
10039534103.jpg,76.075
10041870415.jpg,66.4210526316
10043785683.jpg,71.2043269231
10047832035.jpg,71.8
10048365153.jpg,58.092920354
10050349236.jpg,30.9418103448
10058760545.jpg,15.2293577982
10059344614.jpg,68.6651376147
10061596254.jpg,59.6418918919
10067457634.jpg,78.4390756303
10068507976.jpg,57.6548672566
10068778516.jpg,71.8782608696
10069534975.jpg,73.7222222222
10071864114.jpg,71.9090909091
10075168775.jpg,74.7785714286
10077468576.jpg,73.8152173913
10077880165.jpg,31.2256637168
10079711433.jpg,59.0625
10082923485.jpg,53.2260869565
10086300493.jpg,68.3026315789
100882570.jpg,65.474789916
10089027076.jpg,23.0785714286
10089177336.jpg,72.9459459459
10091520555.jpg,33.6443965517
10093057603.jpg,63.4955752212
10094235786.jpg,62.1559633028
10110458216.jpg,64.7293577982
10111411235.jpg,18.4705882353
10113730664.jpg,68.8125
10115071674.jpg,72.775
10118773964.jpg,53.0733944954
10121813934.jpg,65.3980582524
10125013364.jpg,31.2711538462
10126177964.jpg,70.9078947368
10126857344.jpg,68.7331932773
10130566006.jpg,71.95
10131980434.jpg,61.0279850746
10133867305.jpg,58.1607142857
10134737015.jpg,54.5903361345
10140071304.jpg,62.5576923077
10147970884.jpg,76.8561946903
10153847086.jpg,59.23125
10154367094.jpg,74.1120689655
10154991453.jpg,74.185483871
10155925686.jpg,52.8798076923
101601008.jpg,61.0875
10164654253.jpg,52.9220183486
10164842933.jpg,76.69375
10169304416.jpg,80.8716814159
10173544123.jpg,65.1055555556
10177270623.jpg,59.4800884956
10177793964.jpg,68.5218446602
10178112894.jpg,40.2586206897
10178183416.jpg,75.6842105263
10178914656.jpg,69.7991071429
10183769356.jpg,70.0472972973
10186643874.jpg,51.5731707317
10186680555.jpg,55.3362068966
10186832194.jpg,57.5818584071
10187102065.jpg,38.7142857143
10187522803.jpg,68.4601769912
10191607755.jpg,79.4115044248
10196228605.jpg,63.8040540541
10203647273.jpg,73.5021186441
10205220286.jpg,29.2638888889
10206674394.jpg,79.1100917431
10207172624.jpg,62.5344036697
10209014225.jpg,64.8411214953
10209917915.jpg,46.9097222222
10211880874.jpg,35.0487288136
10213881683.jpg,37.1232142857
10218118033.jpg,75.6659663866
10221144393.jpg,18.2756410256
10224586444.jpg,37.975
10226277514.jpg,43.2162162162
10226524916.jpg,20.6216216216
10227210045.jpg,70.4245283019
10241630856.jpg,63.6573275862
10241895785.jpg,67.0736607143
10244314384.jpg,47.5481651376
10244715656.jpg,53.3223684211
10246311914.jpg,75.4579831933
10246318724.jpg,74.3581081081
10258169584.jpg,57.2302631579
10260190424.jpg,68.8652173913
1026198859.jpg,70.2715517241
10262588616.jpg,61.4485981308
10264804094.jpg,76.6495535714
10264984793.jpg,66.1
10265315316.jpg,62.9513888889
10265809113.jpg,73.7767857143
10273804555.jpg,68.3026315789
10278246465.jpg,70.8416030534
10279904885.jpg,44.0400943396
10280683815.jpg,77.425
10280835505.jpg,31.2256637168
10283619534.jpg,77.9740566038
10287677265.jpg,64.1272321429
10289468185.jpg,73.525
